date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
4/1/2025,DIS,4/17/2025,80,Call,17.7,18,0.4708,0.9823,0.0046,-0.0251,0.009,0.0342
4/1/2025,DIS,4/17/2025,80,Put,0.02,0.11,0.4708,-0.018,0.0046,-0.013,0.009,-0.0008
4/1/2025,DIS,4/17/2025,85,Call,12.75,13.15,0.362,0.9717,0.0088,-0.0274,0.0134,0.0359
4/1/2025,DIS,4/17/2025,85,Put,0.05,0.12,0.3613,-0.029,0.0089,-0.0148,0.0135,-0.0012
4/1/2025,DIS,4/17/2025,88,Call,9.9,10.2,0.3333,0.9411,0.0173,-0.0373,0.0241,0.0358
4/1/2025,DIS,4/17/2025,88,Put,0.18,0.2,0.338,-0.0615,0.0176,-0.0254,0.0256,-0.0025
4/1/2025,DIS,4/17/2025,90,Call,8.05,8.4,0.3296,0.8951,0.027,-0.0501,0.0372,0.0347
4/1/2025,DIS,4/17/2025,90,Put,0.3,0.32,0.3185,-0.0979,0.0266,-0.0339,0.0358,-0.004
4/1/2025,DIS,4/17/2025,92,Call,6.2,6.5,0.2924,0.8521,0.0386,-0.0546,0.0473,0.0336
4/1/2025,DIS,4/17/2025,92,Put,0.44,0.54,0.2959,-0.1514,0.039,-0.0424,0.0486,-0.0061
4/1/2025,DIS,4/17/2025,94,Call,4.65,4.9,0.2924,0.7561,0.0525,-0.0688,0.0641,0.0302
4/1/2025,DIS,4/17/2025,94,Put,0.82,0.91,0.2873,-0.2421,0.0536,-0.0542,0.0633,-0.0096
4/1/2025,DIS,4/17/2025,96,Call,3.25,3.45,0.2826,0.6405,0.0647,-0.0762,0.0765,0.0259
4/1/2025,DIS,4/17/2025,96,Put,1.38,1.5,0.2783,-0.3608,0.0667,-0.0622,0.0775,-0.0138
4/1/2025,DIS,4/17/2025,98,Call,2.09,2.26,0.273,0.5038,0.0714,-0.0765,0.0816,0.0206
4/1/2025,DIS,4/17/2025,98,Put,2.24,2.34,0.2714,-0.5016,0.0733,-0.0632,0.0815,-0.0183
4/1/2025,DIS,4/17/2025,100,Call,1.21,1.36,0.264,0.3603,0.0693,-0.0681,0.0765,0.0148
