date,act_symbol,expiration,strike,call_put,bid,ask,vol,delta,gamma,theta,vega,rho
2025-04-01,NFLX,2025-04-17,745.00,Call,185.25,189.50,0.6315,0.9602,0.0007,-0.4392,0.1680,0.3086
2025-04-01,NFLX,2025-04-17,745.00,Put,1.92,2.84,0.6480,-0.0438,0.0007,-0.3593,0.1805,-0.0188
2025-04-01,NFLX,2025-04-17,765.00,Call,166.20,169.30,0.5868,0.9516,0.0008,-0.4693,0.1966,0.3137
2025-04-01,NFLX,2025-04-17,765.00,Put,3.10,3.25,0.6221,-0.0582,0.0009,-0.4316,0.2262,-0.0250
2025-04-01,NFLX,2025-04-17,790.00,Call,143.05,145.90,0.5748,0.9227,0.0013,-0.6150,0.2824,0.3122
2025-04-01,NFLX,2025-04-17,790.00,Put,4.85,5.05,0.6033,-0.0867,0.0013,-0.5687,0.3183,-0.0352
2025-04-01,NFLX,2025-04-17,810.00,Call,125.20,128.60,0.5767,0.8872,0.0017,-0.7771,0.3730,0.3054
2025-04-01,NFLX,2025-04-17,810.00,Put,6.90,7.15,0.5908,-0.1181,0.0017,-0.6935,0.3847,-0.0511
2025-04-01,NFLX,2025-04-17,835.00,Call,105.00,107.25,0.5777,0.8307,0.0022,-0.9770,0.4911,0.2916
2025-04-01,NFLX,2025-04-17,835.00,Put,8.95,10.80,0.5596,-0.1625,0.0022,-0.8178,0.5004,-0.0651
2025-04-01,NFLX,2025-04-17,855.00,Call,88.10,90.85,0.5539,0.7852,0.0027,-1.0793,0.5683,0.2803
2025-04-01,NFLX,2025-04-17,855.00,Put,14.40,15.20,0.5676,-0.2202,0.0027,-0.9965,0.5936,-0.0876
2025-04-01,NFLX,2025-04-17,875.00,Call,73.45,75.75,0.5451,0.7251,0.0031,-1.1948,0.6490,0.2624
2025-04-01,NFLX,2025-04-17,875.00,Put,19.35,20.00,0.5535,-0.2783,0.0031,-1.0972,0.6423,-0.1100
2025-04-01,NFLX,2025-04-17,890.00,Call,62.35,67.05,0.5444,0.6734,0.0034,-1.2770,0.7015,0.2457
2025-04-01,NFLX,2025-04-17,890.00,Put,24.10,24.70,0.5464,-0.3285,0.0034,-1.1650,0.7085,-0.1287
2025-04-01,NFLX,2025-04-17,910.00,Call,49.30,54.25,0.5301,0.6018,0.0037,-1.3185,0.7505,0.2222
2025-04-01,NFLX,2025-04-17,910.00,Put,30.70,32.20,0.5320,-0.4002,0.0037,-1.2026,0.7554,-0.1537
2025-04-01,NFLX,2025-04-17,930.00,Call,40.40,41.50,0.5241,0.5245,0.0039,-1.3345,0.7743,0.1955
2025-04-01,NFLX,2025-04-17,930.00,Put,39.55,41.25,0.5232,-0.4779,0.0039,-1.2111,0.7741,-0.1797
2025-04-01,NFLX,2025-04-17,945.00,Call,31.80,34.70,0.5120,0.4646,0.0039,-1.2953,0.7727,0.1745
2025-04-01,NFLX,2025-04-17,945.00,Put,47.45,49.50,0.5207,-0.5370,0.0039,-1.1946,0.7741,-0.1989
2025-04-01,NFLX,2025-04-17,965.00,Call,24.25,25.55,0.5029,0.3854,0.0039,-1.2176,0.7435,0.1459
2025-04-01,NFLX,2025-04-17,965.00,Put,58.05,61.25,0.5053,-0.6177,0.0039,-1.1009,0.7456,-0.2206
2025-04-01,NFLX,2025-04-17,985.00,Call,17.65,18.55,0.4942,0.3097,0.0036,-1.0987,0.6857,0.1181
2025-04-01,NFLX,2025-04-17,985.00,Put,69.70,73.75,0.4800,-0.7019,0.0038,-0.9346,0.6876,-0.2363
2025-04-01,NFLX,2025-04-17,1005.00,Call,12.80,13.20,0.4901,0.2427,0.0032,-0.9627,0.6081,0.0930
2025-04-01,NFLX,2025-04-17,1005.00,Put,84.20,88.70,0.4700,-0.7747,0.0034,-0.7764,0.5913,-0.2425
2025-04-01,NFLX,2025-04-17,1020.00,Call,9.75,10.10,0.4863,0.1978,0.0029,-0.8473,0.5407,0.0761
2025-04-01,NFLX,2025-04-17,1020.00,Put,98.05,100.80,0.4822,-0.8118,0.0030,-0.7080,0.5153,-0.2440
2025-04-01,NFLX,2025-04-17,1045.00,Call,6.05,6.30,0.4818,0.1360,0.0023,-0.6566,0.4243,0.0526
2025-04-01,NFLX,2025-04-17,1045.00,Put,118.80,122.20,0.4689,-0.8809,0.0023,-0.4875,0.3996,-0.2258
2025-04-01,NFLX,2025-04-17,1070.00,Call,3.65,3.90,0.4805,0.0906,0.0017,-0.4884,0.3174,0.0352
2025-04-01,NFLX,2025-04-17,1070.00,Put,141.45,145.65,0.4717,-0.9251,0.0018,-0.3322,0.2689,-0.1963
2025-04-01,NFLX,2025-04-17,1090.00,Call,2.34,2.55,0.4777,0.0629,0.0013,-0.3673,0.2405,0.0245
2025-04-01,NFLX,2025-04-17,1090.00,Put,160.50,164.80,0.4794,-0.9482,0.0014,-0.2473,0.2183,-0.1723
2025-04-01,NFLX,2025-04-17,1115.00,Call,0.92,1.72,0.4713,0.0373,0.0008,-0.2382,0.1584,0.0146
2025-04-01,NFLX,2025-04-17,1115.00,Put,182.90,190.55,0.4619,-0.9819,0.0009,-0.0829,0.0923,-0.0819
2025-04-01,NFLX,2025-05-02,745.00,Call,189.20,196.00,0.6055,0.9109,0.0009,-0.4768,0.4325,0.5547
2025-04-01,NFLX,2025-05-02,745.00,Put,6.00,6.25,0.5803,-0.0802,0.0009,-0.3696,0.4029,-0.0684
2025-04-01,NFLX,2025-05-02,770.00,Call,166.55,171.95,0.5689,0.8896,0.0012,-0.5205,0.5069,0.5577
2025-04-01,NFLX,2025-05-02,770.00,Put,8.40,8.80,0.5659,-0.1083,0.0012,-0.4509,0.4946,-0.0867
2025-04-01,NFLX,2025-05-02,790.00,Call,150.85,154.35,0.5695,0.8576,0.0014,-0.6116,0.6064,0.5466
2025-04-01,NFLX,2025-05-02,790.00,Put,10.90,11.30,0.5543,-0.1359,0.0014,-0.5146,0.5901,-0.1166
2025-04-01,NFLX,2025-05-02,810.00,Call,134.15,137.60,0.5492,0.8300,0.0017,-0.6760,0.6839,0.5392
2025-04-01,NFLX,2025-05-02,810.00,Put,14.00,14.40,0.5418,-0.1682,0.0017,-0.5812,0.6886,-0.1334
2025-04-01,NFLX,2025-05-02,840.00,Call,110.30,114.10,0.5409,0.7672,0.0020,-0.7715,0.8250,0.5097
2025-04-01,NFLX,2025-05-02,840.00,Put,19.40,20.70,0.5230,-0.2264,0.0021,-0.6690,0.8182,-0.1779
2025-04-01,NFLX,2025-05-02,855.00,Call,99.45,101.90,0.5285,0.7352,0.0022,-0.8040,0.8840,0.4942
2025-04-01,NFLX,2025-05-02,855.00,Put,24.00,24.75,0.5239,-0.2620,0.0023,-0.7196,0.8770,-0.2044
2025-04-01,NFLX,2025-05-02,875.00,Call,86.40,88.40,0.5264,0.6844,0.0024,-0.8630,0.9603,0.4654
2025-04-01,NFLX,2025-05-02,875.00,Put,29.65,30.85,0.5124,-0.3123,0.0025,-0.7676,0.9748,-0.2412
2025-04-01,NFLX,2025-05-02,890.00,Call,76.70,78.65,0.5199,0.6451,0.0026,-0.8889,1.0057,0.4427
2025-04-01,NFLX,2025-05-02,890.00,Put,34.85,36.20,0.5067,-0.3530,0.0027,-0.7940,1.0153,-0.2708
2025-04-01,NFLX,2025-05-02,910.00,Call,64.45,66.55,0.5101,0.5898,0.0028,-0.9067,1.0507,0.4095
2025-04-01,NFLX,2025-05-02,910.00,Put,42.55,43.95,0.4966,-0.4100,0.0029,-0.8099,1.0502,-0.3114
