Date,DIS,NFLX,SPOT
2020-01-02,9502100,44858000,662600
2020-01-03,7320200,38069000,1018400
2020-01-06,8262500,56631000,1311900
2020-01-07,6906500,47032000,876700
2020-01-08,6984200,71045000,974500
2020-01-09,6664200,47093000,1630600
2020-01-10,5152500,47183000,1046400
2020-01-13,9921300,62900000,1880900
2020-01-14,14839100,71994000,1048000
2020-01-15,6818200,51580000,1037400
2020-01-16,6948400,50160000,701300
2020-01-17,10355300,60665000,1314900
2020-01-21,9250200,143503000,1743900
2020-01-22,7550000,217300000,1718700
2020-01-23,11082000,182003000,1102100
2020-01-24,13076300,179397000,1164800
2020-01-27,12831800,77095000,1003900
2020-01-28,10390000,68216000,791400
2020-01-29,9382700,76435000,1215200
2020-01-30,11847300,53281000,886600
2020-01-31,12379100,52300000,1501100
2020-02-03,12639900,66706000,1894500
2020-02-04,23519700,71615000,3152600
2020-02-05,27824100,64370000,4159800
2020-02-06,9504600,39204000,2341700
2020-02-07,10948900,43852000,2110600
2020-02-10,8162100,52941000,1794700
2020-02-11,10790100,47729000,1527900
2020-02-12,8168200,46248000,1224000
2020-02-13,7543100,44854000,1591000
2020-02-14,9110500,37363000,1288100
2020-02-18,8214900,51739000,1480200
2020-02-19,7080900,48964000,1051800
2020-02-20,5981700,40794000,1442600
2020-02-21,7725800,39301000,1170700
2020-02-24,19336500,69364000,1382100
2020-02-25,21032500,64812000,2049200
2020-02-26,31195900,89341000,1502900
2020-02-27,30827500,109677000,1826300
2020-02-28,35389900,111686000,1909400
2020-03-02,21775900,69979000,1001700
2020-03-03,19529700,83646000,964900
2020-03-04,13842100,54873000,1336000
2020-03-05,22397200,87470000,1501600
2020-03-06,22899600,81472000,1311500
2020-03-09,26233600,74055000,1361700
2020-03-10,24083700,76044000,1359000
2020-03-11,24771300,60360000,905500
2020-03-12,40392900,120716000,1836600
2020-03-13,40960100,94582000,1439600
2020-03-16,35379500,105599000,1736000
2020-03-17,27526200,100139000,2493000
2020-03-18,43592500,125936000,1991000
2020-03-19,30866800,106160000,2504100
2020-03-20,31957800,108538000,3669100
2020-03-23,32246600,134494000,2209200
2020-03-24,32538100,116387000,2680900
2020-03-25,28533000,87672000,1994700
2020-03-26,24520300,72296000,1125600
2020-03-27,30591500,79488000,1094200
2020-03-30,23119200,86220000,1356600
2020-03-31,21563200,93665000,1763600
2020-04-01,18303900,66725000,1718100
2020-04-02,13936500,45925000,739500
2020-04-03,14814600,48608000,871700
2020-04-06,20407400,81839000,2315000
2020-04-07,22899600,70464000,1539200
2020-04-08,22562500,69089000,1386400
2020-04-09,31453600,77113000,1226200
2020-04-13,17306000,116929000,1067700
2020-04-14,19866900,115810000,1536400
2020-04-15,14157600,135612000,1747100
2020-04-16,18029300,161287000,1102600
2020-04-17,17926900,126163000,709100
2020-04-20,17021000,126558000,1144400
2020-04-21,16101400,231776000,1098000
2020-04-22,11463800,210848000,899100
2020-04-23,17132200,139523000,769500
2020-04-24,13614100,86589000,1142300
2020-04-27,15518300,62775000,1135500
2020-04-28,16503700,101012000,1516200
2020-04-29,20139800,96931000,5744100
2020-04-30,18638700,79540000,2122300
2020-05-01,13209100,82999000,2047300
2020-05-04,19514800,77991000,1224100
2020-05-05,30169800,62863000,1231000
2020-05-06,51992400,66607000,1280700
2020-05-07,20868800,56419000,1421700
2020-05-08,24079700,50493000,912400
2020-05-11,20555900,54860000,1294500
2020-05-12,17049700,45982000,1099300
2020-05-13,21085800,70146000,974900
2020-05-14,22002200,90075000,895200
2020-05-15,29766000,72440000,1511500
2020-05-18,40044600,77735000,1306500
2020-05-19,20332600,48105000,4119400
2020-05-20,25749900,56073000,4818500
2020-05-21,17578300,91173000,4318700
2020-05-22,9288200,54223000,2156300
2020-05-26,16466400,78811000,2482400
2020-05-27,19345400,104463000,2326500
2020-05-28,18606000,56551000,1858400
2020-05-29,17745100,52549000,1158200
2020-06-01,10538300,37437000,1309600
2020-06-02,10753100,34948000,1552400
2020-06-03,12584300,43160000,1522000
2020-06-04,14195100,54105000,1200100
2020-06-05,16581600,50996000,1157700
2020-06-08,13858100,58515000,1202100
2020-06-09,10882800,67970000,1582800
2020-06-10,11497100,48969000,2112100
2020-06-11,26078800,74629000,1728800
2020-06-12,18361900,64611000,907600
2020-06-15,14156400,44679000,1396100
2020-06-16,12951200,55079000,1061100
2020-06-17,8921600,65296000,3151700
2020-06-18,9577300,42776000,12353200
2020-06-19,23496300,59345000,12863200
2020-06-22,12868000,62721000,6346100
2020-06-23,10187600,59484000,8055100
2020-06-24,22252500,48262000,4949700
2020-06-25,17240400,41345000,8578300
2020-06-26,15270900,68047000,6497100
2020-06-29,12584300,48440000,4766700
2020-06-30,10565900,41985000,3515200
2020-07-01,11930900,97059000,3404200
2020-07-02,10312000,63515000,4247000
2020-07-06,11933400,78390000,5167600
2020-07-07,10836500,56699000,2283600
2020-07-08,13629500,56917000,3787800
2020-07-09,13582900,58405000,2640400
2020-07-10,14207900,216056000,1772300
2020-07-13,15620200,183990000,2834600
2020-07-14,12425100,150833000,3861300
2020-07-15,15314200,100667000,1779400
2020-07-16,10210100,244990000,2794400
2020-07-17,9843500,249914000,1658000
2020-07-20,8947900,119403000,4110500
2020-07-21,8946300,91137000,2548200
2020-07-22,7063300,69541000,5062900
2020-07-23,7255800,77220000,2812900
2020-07-24,8233300,77462000,2406600
2020-07-27,9413000,78631000,1562100
2020-07-28,6821100,59867000,1860900
2020-07-29,9496500,66118000,3970600
2020-07-30,9713500,66086000,2667400
2020-07-31,9601000,59163000,1809700
2020-08-03,10229200,58731000,1829800
2020-08-04,17293900,56080000,1707200
2020-08-05,53000200,43082000,1649400
2020-08-06,27238000,37259000,1341300
2020-08-07,16088600,59103000,1239200
