ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,put_price,implied_vol,delta_call,gamma,vega,theta_call,risk_free_rate
NFLX,2025-04-01,0.0833,30,595.0,0.7,850.0,257.5545204652186,0.08149910720055686,0.4535,0.997616006951434,6.682299762333677e-05,1.8238373196020308,-34.485601477694345,0.05
NFLX,2025-04-01,0.0833,30,680.0,0.8,850.0,173.8497189576566,1.0234088342073164,0.416,0.9746048591534595,0.0005802570932366474,14.527692592869123,-69.00385153032619,0.05
NFLX,2025-04-01,0.0833,30,765.0,0.9,850.0,95.62912416106292,7.449525272182541,0.38149999999999995,0.8530875685524177,0.002456830062535046,56.409534094664124,-160.64785823522266,0.05
NFLX,2025-04-01,0.0833,30,807.5,0.95,850.0,62.40255205839401,16.546308786798022,0.365375,0.7185803088710196,0.0037646651813055625,82.78431099128035,-208.97606390608576,0.05
NFLX,2025-04-01,0.0833,30,850.0,1.0,850.0,35.964393315392726,32.43150566108113,0.35,0.5365473345403237,0.004626718430269002,97.45945254042103,-225.75179108669204,0.05
NFLX,2025-04-01,0.0833,30,892.5,1.05,850.0,17.665041763511056,56.4555097264838,0.335375,0.3399389440437298,0.004453133780877695,89.88335630563103,-194.50431282360495,0.05
NFLX,2025-04-01,0.0833,30,935.0000000000001,1.1,850.0,7.108205666456115,88.22202924671353,0.32149999999999995,0.17466921829934418,0.003264354693243247,63.162770571404195,-128.95777182276936,0.05
NFLX,2025-04-01,0.0833,30,1020.0,1.2,850.0,0.5341695619716589,166.29470437679777,0.296,0.020542254908125123,0.0006820629733560044,12.150636757243529,-22.43450350282017,0.05
NFLX,2025-04-01,0.0833,30,1105.0,1.3,850.0,0.010837638162079388,250.418083687557,0.27349999999999997,0.0006157308149191885,3.211025224065944e-05,0.5285473511414773,-0.8933199582613398,0.05
NFLX,2025-04-01,0.25,91,595.0,0.7,850.0,266.96564582224687,4.57443711610631,0.4810428538201157,0.9510534612246428,0.0004959687279429413,43.09391209582141,-68.53152672462924,0.05
NFLX,2025-04-01,0.25,91,680.0,0.8,850.0,190.77263072241135,12.325535058250694,0.44354285382011566,0.8796897293578163,0.001063123255875455,85.17204306903179,-103.40308405864295,0.05
NFLX,2025-04-01,0.25,91,765.0,0.9,850.0,123.14963913038491,28.64665650820416,0.4090428538201156,0.7512838482027251,0.001822953161035544,134.68591463377484,-135.95670337444005,0.05
NFLX,2025-04-01,0.25,91,807.5,0.95,850.0,94.07901979174034,41.54809369054965,0.3929178538201157,0.6638323581498906,0.0021846180138906978,155.04406049664206,-145.3480832275769,0.05
NFLX,2025-04-01,0.25,91,850.0,1.0,850.0,68.93888227767582,58.38001269747508,0.37754285382011565,0.5637970966037317,0.0024544484046917126,167.37786410661553,-146.89906545402906,0.05
NFLX,2025-04-01,0.25,91,892.5,1.05,850.0,48.12127408767253,79.53446102846169,0.36291785382011565,0.4564975005986573,0.0025711089305691204,168.54142863796545,-139.32846719319252,0.05
NFLX,2025-04-01,0.25,91,935.0000000000001,1.1,850.0,31.75569802180513,105.14094148358436,0.34904285382011563,0.34929003723522734,0.00249505692553805,157.30302327060346,-123.06803399521388,0.05
NFLX,2025-04-01,0.25,91,1020.0,1.2,850.0,11.310009602809032,168.6393661065681,0.32354285382011566,0.16630336640918303,0.0018144643349022147,106.03716503810269,-75.11752656709449,0.05
NFLX,2025-04-01,0.25,91,1105.0,1.3,850.0,2.9146405749659934,244.18811012070512,0.30104285382011564,0.05651377564588268,0.0008882914837454414,48.30161821940663,-31.33781742200144,0.05
NFLX,2025-04-01,0.5,182,595.0,0.7,850.0,287.0061705127651,17.315568169622907,0.49774843911799904,0.8962381164943907,0.0006026044383015843,108.35528245848195,-77.67348413927263,0.05
NFLX,2025-04-01,0.5,182,680.0,0.8,850.0,217.9146751689671,31.12541534823322,0.460248439117999,0.8225684077455997,0.0009400216531429456,156.2924638678635,-95.99678611183005,0.05
NFLX,2025-04-01,0.5,182,765.0,0.9,850.0,156.16399453281684,52.276077234491254,0.425748439117999,0.7202367135389707,0.0013149495703722086,202.24137891662753,-108.90581199759136,0.05
NFLX,2025-04-01,0.5,182,807.5,0.95,850.0,128.72852799741042,66.29128196028898,0.40962343911799903,0.6584454726924196,0.001490851531804828,220.61094306659334,-111.91491939556035,0.05
NFLX,2025-04-01,0.5,182,850.0,1.0,850.0,103.92946059672528,82.94288582080799,0.394248439117999,0.5905910694956472,0.001639993787950814,233.57160302144487,-111.98888733722227,0.05
NFLX,2025-04-01,0.5,182,892.5,1.05,850.0,81.97247332275998,102.43656980804678,0.379623439117999,0.5181820808290931,0.0017466333954402732,239.53150024450767,-108.85588666901225,0.05
NFLX,2025-04-01,0.5,182,935.0000000000001,1.1,850.0,62.99227743974507,124.90704518623613,0.365748439117999,0.443322088301751,0.0017964329193574755,237.35661621496126,-102.50438677578916,0.05
NFLX,2025-04-01,0.5,182,1020.0,1.2,850.0,34.016535619833974,178.83264588873328,0.340248439117999,0.2968099782710591,0.0016919301916776999,207.96317421190227,-81.67274271515254,0.05
NFLX,2025-04-01,0.5,182,1105.0,1.3,850.0,16.006752959553836,243.72420575086142,0.317748439117999,0.1725582525880175,0.001337741956942583,153.55488252747026,-55.325212329064406,0.05
NFLX,2025-04-01,0.75,273,595.0,0.7,850.0,307.49066423375393,30.591342777642808,0.5078808887896099,0.8678106516847468,0.0005724032806050984,157.52993721383228,-74.84504916700244,0.05
NFLX,2025-04-01,0.75,273,680.0,0.8,850.0,242.51150874542765,47.48371279558637,0.4703808887896099,0.8005294723870157,0.0008072483069087381,205.75761916207114,-86.41989499030285,0.05
NFLX,2025-04-01,0.75,273,765.0,0.9,850.0,183.64651380075492,70.49024335718354,0.43588088878960984,0.7147096678040319,0.001058604724843343,250.0349798451027,-93.8498146872173,0.05
NFLX,2025-04-01,0.75,273,807.5,0.95,850.0,156.9399328113426,84.71942512090618,0.4197558887896099,0.6649533088230603,0.0011791064788560161,268.1939261903073,-95.46417222173793,0.05
NFLX,2025-04-01,0.75,273,850.0,1.0,850.0,132.27596270759568,100.99121777029416,0.40438088878960987,0.611098199723531,0.001287891018246906,282.20769511125116,-95.43747440110694,0.05
NFLX,2025-04-01,0.75,273,892.5,1.05,850.0,109.80326584422454,119.45428366005797,0.3897558887896099,0.5538208513449108,0.0013778168377195632,290.9935000584036,-93.65817638812248,0.05
NFLX,2025-04-01,0.75,273,935.0000000000001,1.1,850.0,89.64006618104855,140.22684675001688,0.37588088878960985,0.4940835760487486,0.0014416588458150345,293.6377319955891,-90.09842312946425,0.05
NFLX,2025-04-01,0.75,273,1020.0,1.2,850.0,56.48975371769717,188.94805979293528,0.3503808887896099,0.3723830048525072,0.0014669200430748412,278.5133180803542,-78.05895263950526,0.05
NFLX,2025-04-01,0.75,273,1105.0,1.3,850.0,32.736899624024204,247.06673120553216,0.32788088878960986,0.2578688663371237,0.0013381955556985943,237.7578154182823,-61.29341106214149,0.05
NFLX,2025-04-01,1.0,365,595.0,0.7,850.0,326.71244830288,42.693955880804765,0.514026530173437,0.8527195829781211,0.000527151054812323,195.775555928317,-70.22187471473038,0.05
NFLX,2025-04-01,1.0,365,680.0,0.8,850.0,264.47329535294705,61.30930401343255,0.4765265301734371,0.7914492828872481,0.0007086301351440846,243.97456547180337,-78.54310632248595,0.05
