ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,implied_vol,heston_v0,heston_kappa,heston_theta,heston_sigma,heston_rho,risk_free_rate
SPOT,2025-04-01,0.25,91,244.99999999999997,0.7,350.0,108.05290784239554,0.23864004050247128,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,280.0,0.8,350.0,73.6808298372884,0.22095201978568257,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,297.5,0.85,350.0,56.913543104287044,0.21315844067099793,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,315.0,0.9,350.0,41.044423824900264,0.20594599176784623,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,332.5,0.95,350.0,26.958703006143566,0.19924466600932475,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,350.0,1.0,350.0,15.671049213308208,0.1929959506506925,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,367.5,1.05,350.0,7.822210322251308,0.18715047993649644,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,385.00000000000006,1.1,350.0,3.255175240314273,0.18166625291334498,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,402.49999999999994,1.15,350.0,1.0988880812489903,0.17650726143452644,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,420.0,1.2,350.0,0.2936149759976612,0.17164242063880356,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,455.0,1.3,350.0,0.009543000390394851,0.1626905799860553,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,244.99999999999997,0.7,350.0,111.27004814019787,0.24199222088759245,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,280.0,0.8,350.0,78.2322454158379,0.2275090205514513,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,297.5,0.85,350.0,62.639220456338734,0.22112752827140175,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,315.0,0.9,350.0,48.19116667131786,0.2152218735884343,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,332.5,0.95,350.0,35.35779169975635,0.2097347337307629,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,350.0,1.0,350.0,24.552897195502055,0.20461819763937913,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,367.5,1.05,350.0,16.019356911161083,0.19983184393885509,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,385.00000000000006,1.1,350.0,9.753871936489233,0.19534128165735623,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,402.49999999999994,1.15,350.0,5.509045363724354,0.19111702681751117,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,420.0,1.2,350.0,2.8711971093504616,0.18713362669739425,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,455.0,1.3,350.0,0.6023520528240471,0.17980373356650783,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,244.99999999999997,0.7,350.0,118.27720312361248,0.24237258009137017,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,280.0,0.8,350.0,87.81057795453037,0.23218676500698968,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,297.5,0.85,350.0,73.74987362655071,0.22769875829449643,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,315.0,0.9,350.0,60.75770424800962,0.22354540094551292,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,332.5,0.95,350.0,49.02498678587031,0.21968637872423594,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,350.0,1.0,350.0,38.69399370981745,0.21608799650968186,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,1.0,365,367.5,1.05,350.0,29.840546509197196,0.2127218265617097,0.03,1.8,0.05,0.25,-0.6,0.05
