ticker,valuation_date,maturity_years,maturity_days,strike,moneyness,spot_price,call_price,implied_vol,heston_v0,heston_kappa,heston_theta,heston_sigma,heston_rho,risk_free_rate
NFLX,2025-04-01,0.25,91,595.0,0.7,850.0,262.5228583897016,0.28073717224313854,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,680.0,0.8,850.0,179.7129992769593,0.25684232094758963,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,722.5,0.85,850.0,139.8247477536387,0.2462716964199228,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,765.0,0.9,850.0,102.43537761349774,0.23646438353449423,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,807.5,0.95,850.0,69.31969514170646,0.22732943285108537,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,850.0,1.0,850.0,42.3667660900208,0.21879073747704067,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,892.5,1.05,850.0,22.809006076508297,0.21078401407610745,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,935.0000000000001,1.1,850.0,10.534532296162013,0.20325450862383623,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,977.4999999999999,1.15,850.0,4.062464562820921,0.19615522863967352,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,1020.0,1.2,850.0,1.2729279105032205,0.1894455639581978,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.25,91,1105.0,1.3,850.0,0.06012895885785241,0.17705824186788102,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,595.0,0.7,850.0,271.090444077799,0.2791987643079934,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,680.0,0.8,850.0,192.42173462948824,0.2600048587002066,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,722.5,0.85,850.0,155.6406254622775,0.2515138425022031,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,765.0,0.9,850.0,121.63798389602209,0.24363596808228521,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,807.5,0.95,850.0,91.30376296357298,0.23629817890835558,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,850.0,1.0,850.0,65.41136423495226,0.229439340952181,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,892.5,1.05,850.0,44.441323505740684,0.2230078176384621,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,935.0000000000001,1.1,850.0,28.453402655444393,0.21695962695768853,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,977.4999999999999,1.15,850.0,17.06127185563969,0.2112570214794677,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,1020.0,1.2,850.0,9.524495508722708,0.20586738046587683,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,0.5,182,1105.0,1.3,850.0,2.3425381173116477,0.19591707410096207,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,595.0,0.7,850.0,289.697549328273,0.2733926231102335,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,680.0,0.8,850.0,217.70418954641025,0.2602651486718951,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,722.5,0.85,850.0,184.59411247205162,0.2544578054259437,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,765.0,0.9,850.0,153.9579188448866,0.24906981419637567,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,807.5,0.95,850.0,126.15035268146272,0.24405120871904132,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,850.0,1.0,850.0,101.43553893696742,0.23936017700375253,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,892.5,1.05,850.0,79.95959435810568,0.23496140274562707,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,935.0000000000001,1.1,850.0,61.73728282026576,0.2308248049013696,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,977.4999999999999,1.15,850.0,46.654528121856,0.2269245665039847,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,1020.0,1.2,850.0,34.4854835982712,0.22323837693509202,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.0,365,1105.0,1.3,850.0,17.598278558791947,0.21643296718012986,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,595.0,0.7,850.0,307.7892092528315,0.2678409547503767,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,680.0,0.8,850.0,240.46107211933463,0.2582234342408689,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,722.5,0.85,850.0,209.57299913234374,0.2539688273828602,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,765.0,0.9,850.0,180.85931686495445,0.25002144844117413,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,807.5,0.95,850.0,154.5035183234255,0.24634469086422311,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,850.0,1.0,850.0,130.62761539454976,0.24290792212820628,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,892.5,1.05,850.0,109.28659761282842,0.23968526861302097,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,935.0000000000001,1.1,850.0,90.46844367420607,0.2366546921838988,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,977.4999999999999,1.15,850.0,74.09912077998803,0.2337972786764483,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,1020.0,1.2,850.0,60.05149127490512,0.2310966827661472,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,1.5,547,1105.0,1.3,850.0,38.21710794573167,0.22611086708611014,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,595.0,0.7,850.0,324.8869913875798,0.26351921510735205,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,680.0,0.8,850.0,261.118267975305,0.25606717265253587,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,722.5,0.85,850.0,231.83349954706182,0.25277053180803866,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,765.0,0.9,850.0,204.4888371002038,0.24971194353368967,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,807.5,0.95,850.0,179.19002356523777,0.24686304359815855,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,850.0,1.0,850.0,155.9990152190823,0.24420009668758388,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,892.5,1.05,850.0,134.93395860365086,0.24170305487846247,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,935.0000000000001,1.1,850.0,115.97170504651274,0.23935484213588948,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,977.4999999999999,1.15,850.0,99.05230402335474,0.2371408030030968,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,1020.0,1.2,850.0,84.08484525480316,0.23504827246396554,0.04,2.0,0.06,0.3,-0.7,0.05
NFLX,2025-04-01,2.0,730,1105.0,1.3,850.0,59.52690627068915,0.23118506155811994,0.04,2.0,0.06,0.3,-0.7,0.05
SPOT,2025-04-01,0.25,91,244.99999999999997,0.7,350.0,108.05290784239554,0.23864004050247128,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,280.0,0.8,350.0,73.6808298372884,0.22095201978568257,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,297.5,0.85,350.0,56.913543104287044,0.21315844067099793,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,315.0,0.9,350.0,41.044423824900264,0.20594599176784623,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,332.5,0.95,350.0,26.958703006143566,0.19924466600932475,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,350.0,1.0,350.0,15.671049213308208,0.1929959506506925,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,367.5,1.05,350.0,7.822210322251308,0.18715047993649644,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,385.00000000000006,1.1,350.0,3.255175240314273,0.18166625291334498,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,402.49999999999994,1.15,350.0,1.0988880812489903,0.17650726143452644,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,420.0,1.2,350.0,0.2936149759976612,0.17164242063880356,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.25,91,455.0,1.3,350.0,0.009543000390394851,0.1626905799860553,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,244.99999999999997,0.7,350.0,111.27004814019787,0.24199222088759245,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,280.0,0.8,350.0,78.2322454158379,0.2275090205514513,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,297.5,0.85,350.0,62.639220456338734,0.22112752827140175,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,315.0,0.9,350.0,48.19116667131786,0.2152218735884343,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,332.5,0.95,350.0,35.35779169975635,0.2097347337307629,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,350.0,1.0,350.0,24.552897195502055,0.20461819763937913,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,367.5,1.05,350.0,16.019356911161083,0.19983184393885509,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,385.00000000000006,1.1,350.0,9.753871936489233,0.19534128165735623,0.03,1.8,0.05,0.25,-0.6,0.05
SPOT,2025-04-01,0.5,182,402.49999999999994,1.15,350.0,5.509045363724354,0.19111702681751117,0.03,1.8,0.05,0.25,-0.6,0.05
