date,act_symbol,iv_current
2025-05-02,DIS,0.3906
2025-06-06,DIS,0.1921
2025-07-04,DIS,
2025-08-01,DIS,0.3414
2025-09-05,DIS,0.2213
2025-10-03,DIS,0.2509
2025-11-07,DIS,0.4014
2025-12-05,DIS,0.2159
2026-01-02,DIS,0.2450
2026-02-06,DIS,0.2294
2026-03-06,DIS,0.2988
2025-05-02,NFLX,0.3170
2025-06-06,NFLX,0.2501
2025-07-04,NFLX,
2025-08-01,NFLX,0.2685
2025-09-05,NFLX,0.2466
2025-10-03,NFLX,0.4405
2025-11-07,NFLX,0.3048
2025-12-05,NFLX,0.3230
2026-01-02,NFLX,0.4202
2026-02-06,NFLX,0.3397
